,0,20,40,60,80,100,120,140,160,180
0,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.33
200,57.33,57.33,57.33,57.33,57.33,57.33,57.33,57.32,57.28,57.23
400,57.18,57.12,57.05,56.98,56.91,56.85,56.78,56.71,56.64,56.56
600,56.49,56.4,56.3,56.2,56.11,56.01,55.92,55.82,55.72,55.64
800,55.54,55.49,55.41,55.36,55.29,55.25,55.19,55.13,55.1,55.06
1000,55.03,55,54.96,54.93,54.91,54.88,54.85,54.81,54.77,54.74
1200,54.72,54.68,54.65,54.62,54.59,54.57,54.54,54.51,54.47,54.45
1400,54.43,54.4,54.37,54.33,54.31,54.28,54.24,54.23,54.19,54.16
1600,54.13,54.1,54.07,54.04,54.03,54.01,53.97,53.95,53.93,53.91
1800,53.89,53.87,53.85,53.83,53.82,53.78,53.77,53.75,53.72,53.71
2000,53.68,53.66,53.64,53.61,53.59,53.56,53.54,53.52,53.5,53.47
2200,53.45,53.42,53.39,53.37,53.35,53.33,53.31,53.29,53.27,53.24
2400,53.22,53.2,53.18,53.15,53.13,53.1,53.08,53.06,53.03,52.99
2600,52.96,52.93,52.91,52.89,52.85,52.84,52.82,52.79,52.75,52.74
2800,52.71,52.69,52.65,52.63,52.6,52.55,52.54,52.52,52.49,52.47
3000,52.45,52.43,52.4,52.38,52.37,52.34,52.31,52.29,52.25,52.23
3200,52.21,52.17,52.15,52.12,52.1,52.05,52.03,51.99,51.95,51.94
3400,51.91,51.88,51.86,51.83,51.81,51.79,51.76,51.73,51.69,51.65
3600,51.61,51.59,51.56,51.54,51.5,51.48,51.45,51.43,51.41,51.38
3800,51.36,51.33,51.3,51.27,51.24,51.2,51.18,51.13,51.08,51.02
4000,50.98,50.93,50.89,50.85,50.81,50.79,50.74,50.71,50.68,50.66
4200,50.65,50.62,50.58,50.54,50.51,50.48,50.44,50.4,50.35,50.3
4400,50.26,50.21,50.17,50.11,50.06,50,49.93,49.85,49.76,49.7
4600,49.64,49.59,49.53,49.47,49.4,49.34,49.27,49.19,49.12,49
4800,48.89,48.78,48.67,48.55,48.42,48.26,48.09,47.93,47.73,47.58
5000,47.43,47.28,47.13,46.96,46.76,46.58,46.41,46.19,45.92,45.67
5200,45.49,45.22,44.95,44.71,44.43,44.17,43.86,43.52,43.15,42.83
5400,42.51,42.16,41.74,41.33,40.95,40.54,40.12,39.62,39.19,38.65
5600,38.22,37.66,37.24,36.74,36.22,35.78,35.23,34.68,34.12,33.63
5800,33.11,32.57,32.03,31.57,31.1,30.62,30.12,29.6,29.15,28.67
6000,28.15,27.68,27.17,26.72,26.13,25.61,25.1,24.51,23.98,23.49
6200,22.96,22.44,21.88,21.41,20.89,20.43,19.87,19.37,18.88,18.43
6400,17.99,17.58,17.14,16.77,16.31,15.8,15.28,14.81,14.31,13.88
6600,13.37,12.78,12.16,11.61,10.97,10.24,9.61,8.93,8.21,7.51
6800,6.87,6.17,5.51,4.82,4.16,3.53,2.82,2.23,1.69,1.25
7000,0.95,0.67,0.48,0.33,0.22,0.14,0.09,0.05,0.03,0.02
7200,0.01,0,0,0,0,0,0,0,0,0
7400,0,0,0,0,0,0,0,0,0,0
7600,0,0,0,0,0,,,,,
