,0,20,40,60,80,100,120,140,160,180
0,50.92,50.92,50.92,50.92,50.92,50.92,50.92,50.92,50.92,50.92
200,50.7,50.17,49.66,49.16,48.79,48.46,48.21,48.01,47.9,47.84
400,47.76,47.66,47.55,47.47,47.41,47.36,47.31,47.24,47.21,47.17
600,47.12,47.05,46.98,46.9,46.84,46.79,46.72,46.66,46.61,46.58
800,46.55,46.53,46.49,46.46,46.42,46.4,46.36,46.3,46.25,46.16
1000,46.11,46.08,46.06,46.03,46,45.97,45.93,45.88,45.81,45.77
1200,45.74,45.7,45.65,45.58,45.52,45.46,45.42,45.39,45.36,45.31
1400,45.25,45.21,45.17,45.13,45.05,45.02,44.98,44.94,44.9,44.86
1600,44.84,44.8,44.77,44.74,44.72,44.7,44.66,44.62,44.59,44.56
1800,44.53,44.51,44.48,44.45,44.44,44.41,44.38,44.36,44.34,44.31
2000,44.28,44.24,44.22,44.2,44.18,44.16,44.14,44.11,44.09,44.06
2200,44.03,44.01,43.99,43.96,43.94,43.93,43.9,43.88,43.85,43.83
2400,43.81,43.79,43.75,43.74,43.71,43.69,43.67,43.64,43.63,43.61
2600,43.58,43.56,43.54,43.5,43.47,43.46,43.43,43.4,43.38,43.34
2800,43.31,43.27,43.23,43.19,43.14,43.1,43.06,43.01,42.97,42.93
3000,42.88,42.83,42.78,42.72,42.64,42.57,42.49,42.43,42.33,42.24
3200,42.11,41.97,41.83,41.69,41.52,41.39,41.23,41.07,40.89,40.72
3400,40.53,40.34,40.12,39.93,39.74,39.53,39.31,39.14,38.95,38.72
3600,38.48,38.2,37.89,37.54,37.2,36.81,36.44,36.07,35.68,35.24
3800,34.82,34.33,33.85,33.41,32.95,32.53,32.16,31.75,31.37,30.95
4000,30.59,30.21,29.81,29.47,29.13,28.8,28.45,28.11,27.8,27.5
4200,27.14,26.85,26.57,26.28,25.98,25.68,25.36,25.05,24.73,24.37
4400,24.06,23.73,23.34,23,22.62,22.27,21.89,21.54,21.14,20.73
4600,20.33,19.96,19.57,19.13,18.75,18.34,17.92,17.48,17.07,16.63
4800,16.18,15.74,15.26,14.77,14.21,13.63,13.02,12.38,11.55,10.62
5000,9.63,8.71,7.82,7.07,6.41,5.77,5.24,4.8,4.39,4.03
5200,3.7,3.42,3.19,2.97,2.77,2.61,2.43,2.27,2.09,1.93
5400,1.76,1.59,1.44,1.3,1.13,0.98,0.85,0.74,0.59,0.43
5600,0.31,0.21,0.13,0.08,0.04,0.01,0,0,0,0
5800,0,0,0,0,0,0,0,0,0,
