timeline,survival_probability,group,risk_group,color,linestyle
0,1,Low Risk - Unweighted,low,blue,solid
1,0.99929078,Low Risk - Unweighted,low,blue,solid
2,0.99929078,Low Risk - Unweighted,low,blue,solid
3,0.997127813,Low Risk - Unweighted,low,blue,solid
4,0.994960144,Low Risk - Unweighted,low,blue,solid
5,0.993505524,Low Risk - Unweighted,low,blue,solid
6,0.99203148,Low Risk - Unweighted,low,blue,solid
7,0.99203148,Low Risk - Unweighted,low,blue,solid
8,0.991278229,Low Risk - Unweighted,low,blue,solid
9,0.990516879,Low Risk - Unweighted,low,blue,solid
10,0.990516879,Low Risk - Unweighted,low,blue,solid
11,0.990516879,Low Risk - Unweighted,low,blue,solid
12,0.988934583,Low Risk - Unweighted,low,blue,solid
13,0.988934583,Low Risk - Unweighted,low,blue,solid
14,0.988121315,Low Risk - Unweighted,low,blue,solid
15,0.988121315,Low Risk - Unweighted,low,blue,solid
16,0.988121315,Low Risk - Unweighted,low,blue,solid
17,0.986449367,Low Risk - Unweighted,low,blue,solid
18,0.985603355,Low Risk - Unweighted,low,blue,solid
19,0.984751494,Low Risk - Unweighted,low,blue,solid
20,0.983894443,Low Risk - Unweighted,low,blue,solid
21,0.983894443,Low Risk - Unweighted,low,blue,solid
22,0.983894443,Low Risk - Unweighted,low,blue,solid
23,0.983894443,Low Risk - Unweighted,low,blue,solid
24,0.982998364,Low Risk - Unweighted,low,blue,solid
25,0.982998364,Low Risk - Unweighted,low,blue,solid
26,0.982998364,Low Risk - Unweighted,low,blue,solid
27,0.982998364,Low Risk - Unweighted,low,blue,solid
28,0.982998364,Low Risk - Unweighted,low,blue,solid
29,0.981106164,Low Risk - Unweighted,low,blue,solid
30,0.979193676,Low Risk - Unweighted,low,blue,solid
31,0.979193676,Low Risk - Unweighted,low,blue,solid
32,0.979193676,Low Risk - Unweighted,low,blue,solid
33,0.979193676,Low Risk - Unweighted,low,blue,solid
34,0.978201585,Low Risk - Unweighted,low,blue,solid
35,0.977204438,Low Risk - Unweighted,low,blue,solid
36,0.976192839,Low Risk - Unweighted,low,blue,solid
37,0.975167426,Low Risk - Unweighted,low,blue,solid
38,0.973101394,Low Risk - Unweighted,low,blue,solid
39,0.973101394,Low Risk - Unweighted,low,blue,solid
40,0.972044823,Low Risk - Unweighted,low,blue,solid
41,0.972044823,Low Risk - Unweighted,low,blue,solid
42,0.972044823,Low Risk - Unweighted,low,blue,solid
43,0.970961161,Low Risk - Unweighted,low,blue,solid
44,0.970961161,Low Risk - Unweighted,low,blue,solid
45,0.969854022,Low Risk - Unweighted,low,blue,solid
46,0.969854022,Low Risk - Unweighted,low,blue,solid
47,0.969854022,Low Risk - Unweighted,low,blue,solid
48,0.968704906,Low Risk - Unweighted,low,blue,solid
49,0.968704906,Low Risk - Unweighted,low,blue,solid
50,0.967511919,Low Risk - Unweighted,low,blue,solid
51,0.967511919,Low Risk - Unweighted,low,blue,solid
52,0.966274692,Low Risk - Unweighted,low,blue,solid
53,0.966274692,Low Risk - Unweighted,low,blue,solid
54,0.964974187,Low Risk - Unweighted,low,blue,solid
55,0.964974187,Low Risk - Unweighted,low,blue,solid
56,0.963615069,Low Risk - Unweighted,low,blue,solid
57,0.963615069,Low Risk - Unweighted,low,blue,solid
58,0.963615069,Low Risk - Unweighted,low,blue,solid
59,0.963615069,Low Risk - Unweighted,low,blue,solid
60,0.963615069,Low Risk - Unweighted,low,blue,solid
61,0.963615069,Low Risk - Unweighted,low,blue,solid
62,0.961962213,Low Risk - Unweighted,low,blue,solid
63,0.961962213,Low Risk - Unweighted,low,blue,solid
64,0.960136858,Low Risk - Unweighted,low,blue,solid
65,0.958220417,Low Risk - Unweighted,low,blue,solid
66,0.958220417,Low Risk - Unweighted,low,blue,solid
67,0.958220417,Low Risk - Unweighted,low,blue,solid
68,0.956047581,Low Risk - Unweighted,low,blue,solid
69,0.956047581,Low Risk - Unweighted,low,blue,solid
70,0.956047581,Low Risk - Unweighted,low,blue,solid
71,0.956047581,Low Risk - Unweighted,low,blue,solid
72,0.956047581,Low Risk - Unweighted,low,blue,solid
73,0.956047581,Low Risk - Unweighted,low,blue,solid
74,0.953176568,Low Risk - Unweighted,low,blue,solid
75,0.95015061,Low Risk - Unweighted,low,blue,solid
76,0.95015061,Low Risk - Unweighted,low,blue,solid
77,0.95015061,Low Risk - Unweighted,low,blue,solid
78,0.95015061,Low Risk - Unweighted,low,blue,solid
79,0.95015061,Low Risk - Unweighted,low,blue,solid
80,0.95015061,Low Risk - Unweighted,low,blue,solid
81,0.95015061,Low Risk - Unweighted,low,blue,solid
82,0.95015061,Low Risk - Unweighted,low,blue,solid
83,0.95015061,Low Risk - Unweighted,low,blue,solid
84,0.95015061,Low Risk - Unweighted,low,blue,solid
85,0.95015061,Low Risk - Unweighted,low,blue,solid
86,0.945252927,Low Risk - Unweighted,low,blue,solid
87,0.945252927,Low Risk - Unweighted,low,blue,solid
88,0.945252927,Low Risk - Unweighted,low,blue,solid
89,0.945252927,Low Risk - Unweighted,low,blue,solid
90,0.945252927,Low Risk - Unweighted,low,blue,solid
91,0.945252927,Low Risk - Unweighted,low,blue,solid
92,0.945252927,Low Risk - Unweighted,low,blue,solid
93,0.945252927,Low Risk - Unweighted,low,blue,solid
94,0.945252927,Low Risk - Unweighted,low,blue,solid
95,0.945252927,Low Risk - Unweighted,low,blue,solid
96,0.945252927,Low Risk - Unweighted,low,blue,solid
97,0.945252927,Low Risk - Unweighted,low,blue,solid
98,0.945252927,Low Risk - Unweighted,low,blue,solid
99,0.945252927,Low Risk - Unweighted,low,blue,solid
100,0.945252927,Low Risk - Unweighted,low,blue,solid
101,0.945252927,Low Risk - Unweighted,low,blue,solid
102,0.945252927,Low Risk - Unweighted,low,blue,solid
103,0.945252927,Low Risk - Unweighted,low,blue,solid
104,0.945252927,Low Risk - Unweighted,low,blue,solid
105,0.945252927,Low Risk - Unweighted,low,blue,solid
107,0.945252927,Low Risk - Unweighted,low,blue,solid
108,0.928669542,Low Risk - Unweighted,low,blue,solid
109,0.928669542,Low Risk - Unweighted,low,blue,solid
110,0.928669542,Low Risk - Unweighted,low,blue,solid
111,0.928669542,Low Risk - Unweighted,low,blue,solid
112,0.928669542,Low Risk - Unweighted,low,blue,solid
113,0.928669542,Low Risk - Unweighted,low,blue,solid
114,0.928669542,Low Risk - Unweighted,low,blue,solid
115,0.928669542,Low Risk - Unweighted,low,blue,solid
116,0.928669542,Low Risk - Unweighted,low,blue,solid
117,0.928669542,Low Risk - Unweighted,low,blue,solid
118,0.928669542,Low Risk - Unweighted,low,blue,solid
119,0.928669542,Low Risk - Unweighted,low,blue,solid
120,0.928669542,Low Risk - Unweighted,low,blue,solid
121,0.928669542,Low Risk - Unweighted,low,blue,solid
122,0.928669542,Low Risk - Unweighted,low,blue,solid
123,0.928669542,Low Risk - Unweighted,low,blue,solid
124,0.928669542,Low Risk - Unweighted,low,blue,solid
125,0.928669542,Low Risk - Unweighted,low,blue,solid
128,0.928669542,Low Risk - Unweighted,low,blue,solid
129,0.928669542,Low Risk - Unweighted,low,blue,solid
131,0.928669542,Low Risk - Unweighted,low,blue,solid
132,0.928669542,Low Risk - Unweighted,low,blue,solid
0,1,Low Risk - ATT Weighted,low,blue,dot
1,0.999795117,Low Risk - ATT Weighted,low,blue,dot
2,0.999795117,Low Risk - ATT Weighted,low,blue,dot
3,0.997724238,Low Risk - ATT Weighted,low,blue,dot
4,0.995346974,Low Risk - ATT Weighted,low,blue,dot
5,0.992185684,Low Risk - ATT Weighted,low,blue,dot
6,0.988245598,Low Risk - ATT Weighted,low,blue,dot
7,0.988245598,Low Risk - ATT Weighted,low,blue,dot
8,0.979004871,Low Risk - ATT Weighted,low,blue,dot
9,0.97819504,Low Risk - ATT Weighted,low,blue,dot
10,0.97819504,Low Risk - ATT Weighted,low,blue,dot
11,0.97819504,Low Risk - ATT Weighted,low,blue,dot
12,0.97557291,Low Risk - ATT Weighted,low,blue,dot
13,0.97557291,Low Risk - ATT Weighted,low,blue,dot
14,0.975202208,Low Risk - ATT Weighted,low,blue,dot
15,0.975202208,Low Risk - ATT Weighted,low,blue,dot
16,0.975202208,Low Risk - ATT Weighted,low,blue,dot
17,0.968868366,Low Risk - ATT Weighted,low,blue,dot
18,0.963899723,Low Risk - ATT Weighted,low,blue,dot
19,0.963577209,Low Risk - ATT Weighted,low,blue,dot
20,0.96283883,Low Risk - ATT Weighted,low,blue,dot
21,0.96283883,Low Risk - ATT Weighted,low,blue,dot
22,0.96283883,Low Risk - ATT Weighted,low,blue,dot
23,0.96283883,Low Risk - ATT Weighted,low,blue,dot
24,0.962774304,Low Risk - ATT Weighted,low,blue,dot
25,0.962774304,Low Risk - ATT Weighted,low,blue,dot
26,0.962774304,Low Risk - ATT Weighted,low,blue,dot
27,0.962774304,Low Risk - ATT Weighted,low,blue,dot
28,0.962774304,Low Risk - ATT Weighted,low,blue,dot
29,0.961059777,Low Risk - ATT Weighted,low,blue,dot
30,0.955401499,Low Risk - ATT Weighted,low,blue,dot
31,0.955401499,Low Risk - ATT Weighted,low,blue,dot
32,0.955401499,Low Risk - ATT Weighted,low,blue,dot
33,0.955401499,Low Risk - ATT Weighted,low,blue,dot
34,0.954242266,Low Risk - ATT Weighted,low,blue,dot
35,0.952448707,Low Risk - ATT Weighted,low,blue,dot
36,0.950473914,Low Risk - ATT Weighted,low,blue,dot
37,0.946790482,Low Risk - ATT Weighted,low,blue,dot
38,0.93577387,Low Risk - ATT Weighted,low,blue,dot
39,0.93577387,Low Risk - ATT Weighted,low,blue,dot
40,0.934559216,Low Risk - ATT Weighted,low,blue,dot
41,0.934559216,Low Risk - ATT Weighted,low,blue,dot
42,0.934559216,Low Risk - ATT Weighted,low,blue,dot
43,0.933855593,Low Risk - ATT Weighted,low,blue,dot
44,0.933855593,Low Risk - ATT Weighted,low,blue,dot
45,0.932913449,Low Risk - ATT Weighted,low,blue,dot
46,0.932913449,Low Risk - ATT Weighted,low,blue,dot
47,0.932913449,Low Risk - ATT Weighted,low,blue,dot
48,0.931105295,Low Risk - ATT Weighted,low,blue,dot
49,0.931105295,Low Risk - ATT Weighted,low,blue,dot
50,0.930345913,Low Risk - ATT Weighted,low,blue,dot
51,0.930345913,Low Risk - ATT Weighted,low,blue,dot
52,0.929714919,Low Risk - ATT Weighted,low,blue,dot
53,0.929714919,Low Risk - ATT Weighted,low,blue,dot
54,0.916353415,Low Risk - ATT Weighted,low,blue,dot
55,0.916353415,Low Risk - ATT Weighted,low,blue,dot
56,0.915142651,Low Risk - ATT Weighted,low,blue,dot
57,0.915142651,Low Risk - ATT Weighted,low,blue,dot
58,0.915142651,Low Risk - ATT Weighted,low,blue,dot
59,0.915142651,Low Risk - ATT Weighted,low,blue,dot
60,0.915142651,Low Risk - ATT Weighted,low,blue,dot
61,0.915142651,Low Risk - ATT Weighted,low,blue,dot
62,0.914273924,Low Risk - ATT Weighted,low,blue,dot
63,0.914273924,Low Risk - ATT Weighted,low,blue,dot
64,0.908363736,Low Risk - ATT Weighted,low,blue,dot
65,0.906118037,Low Risk - ATT Weighted,low,blue,dot
66,0.906118037,Low Risk - ATT Weighted,low,blue,dot
67,0.906118037,Low Risk - ATT Weighted,low,blue,dot
68,0.904588153,Low Risk - ATT Weighted,low,blue,dot
69,0.904588153,Low Risk - ATT Weighted,low,blue,dot
70,0.904588153,Low Risk - ATT Weighted,low,blue,dot
71,0.904588153,Low Risk - ATT Weighted,low,blue,dot
72,0.904588153,Low Risk - ATT Weighted,low,blue,dot
73,0.904588153,Low Risk - ATT Weighted,low,blue,dot
74,0.903846228,Low Risk - ATT Weighted,low,blue,dot
75,0.90045571,Low Risk - ATT Weighted,low,blue,dot
76,0.90045571,Low Risk - ATT Weighted,low,blue,dot
77,0.90045571,Low Risk - ATT Weighted,low,blue,dot
78,0.90045571,Low Risk - ATT Weighted,low,blue,dot
79,0.90045571,Low Risk - ATT Weighted,low,blue,dot
80,0.90045571,Low Risk - ATT Weighted,low,blue,dot
81,0.90045571,Low Risk - ATT Weighted,low,blue,dot
82,0.90045571,Low Risk - ATT Weighted,low,blue,dot
83,0.90045571,Low Risk - ATT Weighted,low,blue,dot
84,0.90045571,Low Risk - ATT Weighted,low,blue,dot
85,0.90045571,Low Risk - ATT Weighted,low,blue,dot
86,0.895501229,Low Risk - ATT Weighted,low,blue,dot
87,0.895501229,Low Risk - ATT Weighted,low,blue,dot
88,0.895501229,Low Risk - ATT Weighted,low,blue,dot
